id,type,passed,score,y1,y2,y3,y1_std,y2_std,y3_std,trials
1,iot,False,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3
2,iot,False,0.0,0.5,0.5,0.5,0.0,0.0,0.0,3
3,iot,True,0.6428571428571428,1.0,1.0,1.0,0.0,0.0,0.0,3
4,iot,False,0.42857142857142855,1.0,1.0,1.0,0.0,0.0,0.0,3
5,iot,True,1.0,1.0,1.0,0.9333333333333332,0.0,0.0,0.11547005383792512,3
6,iot,True,1.0,1.0,1.0,0.8666666666666667,0.0,0.0,0.11547005383792512,3
7,iot,True,1.0,1.0,0.8333333333333334,0.7666666666666666,0.0,0.28867513459481287,0.2516611478423583,3
8,iot,True,1.0,0.5,0.0,0.5,0.0,0.0,0.0,3
9,iot,True,1.0,0.5,0.5,0.5,0.0,0.0,0.0,3
10,iot,True,1.0,1.0,0.5,0.5,0.0,0.0,0.0,3
11,iot,True,1.0,0.5,0.0,1.0,0.0,0.0,0.0,3
12,iot,True,1.0,1.0,0.9333333333333332,0.9666666666666667,0.0,0.11547005383792512,0.05773502691896256,3
41,iot,True,0.875,0.5,0.0,0.6666666666666666,0.0,0.0,0.28867513459481287,3
42,iot,True,0.8333333333333334,0.6666666666666666,0.16666666666666666,1.0,0.28867513459481287,0.28867513459481287,0.0,3
43,iot,True,0.75,0.6666666666666666,0.0,1.0,0.28867513459481287,0.0,0.0,3
44,iot,True,0.6000000000000001,0.9333333333333332,0.5,0.9666666666666667,0.11547005383792512,0.0,0.05773502691896256,3
45,iot,True,0.6000000000000001,0.5,0.0,0.8333333333333334,0.0,0.0,0.28867513459481287,3
46,iot,True,0.8076923076923077,0.5,0.43333333333333335,0.4666666666666666,0.0,0.11547005383792516,0.05773502691896256,3
47,iot,True,0.5625,1.0,1.0,1.0,0.0,0.0,0.0,3
48,iot,True,0.8333333333333334,0.5,0.0,0.8333333333333334,0.0,0.0,0.28867513459481287,3
101,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
102,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
103,fmsr,True,1.0,0.5,0.3333333333333333,1.0,0.0,0.28867513459481287,0.0,3
104,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
105,fmsr,True,1.0,0.5,0.0,0.5666666666666667,0.0,0.0,0.11547005383792512,3
106,fmsr,True,0.8571428571428571,1.0,1.0,1.0,0.0,0.0,0.0,3
107,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
108,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
109,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
110,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
111,fmsr,True,0.6428571428571428,1.0,1.0,1.0,0.0,0.0,0.0,3
112,fmsr,False,0.3529411764705882,1.0,1.0,1.0,0.0,0.0,0.0,3
113,fmsr,True,0.9705882352941178,1.0,1.0,1.0,0.0,0.0,0.0,3
114,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
115,fmsr,True,1.0,0.5,0.0,0.5,0.0,0.0,0.0,3
116,fmsr,True,1.0,0.5,0.0,0.43333333333333335,0.0,0.0,0.11547005383792516,3
117,fmsr,True,1.0,0.16666666666666666,0.0,0.09999999999999999,0.28867513459481287,0.0,0.17320508075688773,3
118,fmsr,True,0.6290322580645161,1.0,1.0,1.0,0.0,0.0,0.0,3
119,fmsr,True,0.8571428571428571,1.0,1.0,1.0,0.0,0.0,0.0,3
120,fmsr,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
201,tsfm,True,1.0,0.8333333333333334,0.0,0.3333333333333333,0.28867513459481287,0.0,0.28867513459481287,3
202,tsfm,True,1.0,0.5,0.0,0.0,0.0,0.0,0.0,3
203,tsfm,True,1.0,0.6666666666666666,0.0,0.0,0.28867513459481287,0.0,0.0,3
204,tsfm,True,1.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.28867513459481287,3
205,tsfm,True,1.0,0.5,0.0,0.5,0.0,0.0,0.0,3
206,tsfm,True,1.0,0.5,0.0,0.5,0.0,0.0,0.0,3
207,tsfm,True,1.0,0.6666666666666666,0.0,0.0,0.28867513459481287,0.0,0.0,3
208,tsfm,True,1.0,0.6666666666666666,0.0,0.5,0.28867513459481287,0.0,0.0,3
209,tsfm,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
210,tsfm,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
211,tsfm,True,1.0,0.5,0.0,0.0,0.0,0.0,0.0,3
212,tsfm,True,1.0,0.16666666666666666,0.0,0.0,0.28867513459481287,0.0,0.0,3
213,tsfm,True,1.0,0.16666666666666666,0.0,0.0,0.28867513459481287,0.0,0.0,3
214,tsfm,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
215,tsfm,True,1.0,0.5,0.0,0.5,0.0,0.0,0.0,3
216,tsfm,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
217,tsfm,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
218,tsfm,True,1.0,0.16666666666666666,0.0,0.16666666666666666,0.28867513459481287,0.0,0.28867513459481287,3
219,tsfm,True,0.875,0.16666666666666666,0.0,0.06666666666666667,0.28867513459481287,0.0,0.11547005383792516,3
220,tsfm,False,0.30000000000000004,0.16666666666666666,0.0,0.26666666666666666,0.28867513459481287,0.0,0.2516611478423583,3
221,tsfm,False,0.30000000000000004,0.5,0.0,0.43333333333333335,0.0,0.0,0.11547005383792516,3
222,tsfm,True,0.5625,0.5,0.0,0.5,0.0,0.0,0.0,3
223,tsfm,True,1.0,0.3333333333333333,0.0,0.3333333333333333,0.28867513459481287,0.0,0.28867513459481287,3
400,wo,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3
401,wo,False,0.42857142857142855,0.6666666666666666,0.5,0.0,0.28867513459481287,0.0,0.0,3
402,wo,True,1.0,1.0,1.0,0.9666666666666667,0.0,0.0,0.05773502691896256,3
